"IDPROVINCIA";"IDESTACION";"SHORT NAME";"NAME";"LONGITUD ED50 DDMMSS.SSS";"LATITUD ED50 DDMMSS.SSS";"HEIGHT ASL (m)";"X  UTM30N ED50";"Y UTM30N ED50"
5;1;"AV01";"Nava de Arévalo";"044600000W";"405812000N";921;351340;4537010
5;101;"AV101";"Muñogalindo";"045600000W";"403402000N";1128;336347;4493850
5;102;"AV102";"Losar del Barco";"053135000W";"402226000N";1024;285490;4472425
9;101;"BU101";"Valle de Losa";"031333924W";"425754260N";635;480855;4757340
9;102;"BU102";"Condado de Treviño";"024655000W";"424429000N";562;517826;4732205
9;2;"BU02";"Valle de Valdelucio";"040754000W";"424450000N";976;407383;4733470
9;3;"BU03";"Lerma";"034601000W";"420226000N";840;436520;4654674
9;4;"BU04";"Tardajos";"034805000W";"422050000N";822;433994;4688730
9;5;"BU05";"Vadocondes";"033432000W";"413818000N";811;452061;4609855
9;7;"BU07";"Santa Gadea del Cid";"030426000W";"424210000N";532;493944;4727919
24;1;"LE01";"Carracedelo";"064312000W";"423359000N";463;194600;4719469
24;2;"LE02";"Mansilla mayor";"052553000W";"423027000N";791;300232;4709094
24;3;"LE03";"Cubillas de los Oteros";"053021000W";"422350000N";772;293729;4697013
24;4;"LE04";"Zotes del Páramo";"054408000W";"421532000N";776;274340;4682218
24;5;"LE05";"Quintana del Marco";"055016000W";"421309000N";750;265758;4678116
24;6;"LE06";"Hospital de Orbigo";"055343000W";"422739000N";818;261938;4705110
24;7;"LE07";"Bustillo del Páramo";"054616000W";"422756000N";850;272181;4705287
24;8;"LE08";"Sahagún";"050118000W";"422230000N";839;333543;4693510
24;9;"LE09";"Santas Martas";"051531000W";"422631000N";879;314226;4701419
34;1;"P01";"Torquemada";"041803000W";"420302000N";741;392438;4656496
34;101;"P101";"Villaeles de Valdavia";"043501000W";"423349000N";885;369993;4713683
34;2;"P02";"Villamuriel de Cerrato";"042914000W";"415643000N";737;376810;4645087
34;3;"P03";"Fuentes de Nava";"044305000W";"420456000N";742;357913;4660424
34;4;"P04";"Villoldo";"043526000W";"421620000N";804;368819;4681344
34;6;"P06";"Herrera de Pisuerga";"041504000W";"422926000N";810;397173;4705103
34;7;"P07";"Villaluenga de la Vega";"044625000W";"423144000N";916;354332;4710147
34;8;"P08";"Lantadilla";"041640000W";"422042000N";798;394735;4688972
37;1;"SA01";"Ciudad Rodrigo";"063214000W";"403528000N";635;200621;4499480
37;101;"SA101";"Arabayona";"052114005W";"410214000N";847;301396;4545681
37;102;"SA102";"Ejeme";"053145000W";"404707000N";816;286572;4518088
37;3;"SA03";"Aldearrubia";"052852000W";"405926000N";815;291266;4540778
40;1;"SG01";"Gomezserracín";"041748000W";"411809000N";812;391424;4573236
40;2;"SG02";"Nava de la Asunción";"042830000W";"411022000N";802;376255;4559088
42;1;"SO01";"Almazán";"022912000W";"412639000N";947;541794;4590215
42;101;"SO101";"Hinojosa del Campo";"020542000W";"414405000N";1043;575261;4620806
42;2;"SO02";"San Esteban de Gormaz";"031305000W";"413400000N";852;481821;4601765
42;3;"SO03";"Fuentecantos";"022553000W";"415006000N";1011;547229;4631680
47;1;"VA01";"Mayorga";"051712000W";"420906000N";748;311045;4669249
47;101;"VA101";"Finca Zamadueñas";"044147000W";"414242000N";714;358847;4619259
47;102;"VA102";"Medina del Campo";"045344000W";"411851000N";726;341314;4575477
47;103;"VA103";"Rueda";"025249000W";"384153000N";709;334371;4585731
47;2;"VA02";"Torrecilla de la Orden";"051247000W";"411343000N";774;314519;4566605
47;3;"VA03";"Olmedo";"044106000W";"411841000N";740;358950;4574810
47;5;"VA05";"Encinas de Esgueva";"040605000W";"414605000N";800;408466;4624710
47;6;"VA06";"Tordesillas";"045951000W";"412919000N";671;333254;4594927
47;7;"VA07";"Valbuena de Duero";"041559000W";"413840000N";740;394532;4611160
47;8;"VA08";"Medina de Rioseco";"050409000W";"415142000N";739;328238;4636597
49;1;"ZA01";"Colinas de Trasmonte";"054838000W";"420003000N";707;267329;4653883
49;2;"ZA02";"Villaralbo";"053838000W";"412859000N";656;279268;4595860
49;4;"ZA04";"Villalpando";"052317000W";"415251000N";686;301839;4639398
49;5;"ZA05";"Pozuelo de Tábara";"055338000W";"414659000N";699;259495;4629813
49;6;"ZA06";"Barcial del Barco";"053956000W";"415604000N";695;278995;4646027
49;8;"ZA08";"Toro";"052153000W";"400015000N";650;302645;4598079
