"STATION","NAME","LOCATION","DATE","AWND","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT08"
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-01","13.87"," 0023","0.45",,,"48","38","  110","  110","31.1","38.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-02","13.65"," 0805","0.56",,,"48","43","  100","  100","21.9","27.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-03","10.51"," 0538","0.40",,,"46","41","  110","  110","23.0","28.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-04","4.25"," 1614","0.99",,,"42","40","  330","  330","12.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-05","8.50"," 2003","0.25",,,"46","38","  230","  230","28.0","34.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-06","12.08"," 0813","0.46",,,"44","37","  110","  110","29.1","36.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-07","2.46"," 0025","0.01",,,"39","30","  110","  110","10.1","12.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-08","3.13"," 2051","0.00",,,"36","28","  350","  340","8.1","8.9","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-09","5.37"," 2348","0.13","0.0",,"34","25","  110","  100","18.1","21.9","    1",,,,
"USW00025333","SITKA AIRPORT, AK US","57.05N, 135.35W","2018-01-10","6.71"," 0020","0.00",,,"28","24","  330","  110","15.0","19.0","    1",,,,
